userid,dataid,timestamp,location
304,11064,5,3
463,11064,8,2
2086,11064,8,5
1303,11064,8,2
998,11064,12,0
516,11064,12,8
651,11064,13,8
1062,11064,13,1
395,11064,14,4
640,11064,15,0
1758,11064,16,7
404,11064,16,3
1169,11064,17,3
2361,11064,18,8
1239,11064,19,1
834,11064,19,1
2097,11064,20,1
486,11064,21,5
2173,11064,22,2
1058,11064,23,0
2473,11064,23,2
1377,11064,23,1
1494,11064,25,1
410,11064,25,9
2399,11064,25,3
2213,11064,26,0
2384,11064,28,3
595,11064,29,0
330,11064,30,9
1093,11064,31,2
2486,11064,32,0
117,11064,33,6
291,11064,35,0
2302,11064,35,8
807,11064,36,1
1254,11064,37,1
2484,11064,37,1
438,11064,37,7
854,11064,39,3
836,11064,39,0
2449,11064,39,8
783,11064,40,7
1885,11064,43,0
2431,11064,43,5
1731,11064,43,8
1381,11064,44,5
1064,11064,44,3
1596,11064,44,8
1752,11064,45,1
694,11064,47,8
1006,11064,49,5
1814,11064,50,3
31,11064,52,0
562,11064,52,8
2360,11064,55,9
472,11064,55,1
939,11064,56,1
1430,11064,57,9
1185,11064,57,4
185,11064,58,4
992,11064,60,6
317,11064,60,6
1399,11064,61,8
2219,11064,61,3
1051,11064,62,5
1779,11064,64,1
417,11064,64,6
1175,11064,66,9
1459,11064,66,8
1999,11064,71,8
1590,11064,73,4
729,11064,73,1
2130,11064,74,4
2445,11064,75,4
2134,11064,75,8
1166,11064,77,0
831,11064,79,8
2325,11064,80,4
2231,11064,80,0
635,11064,81,9
939,11064,82,1
38,11064,82,7
1120,11064,83,0
521,11064,86,0
452,11064,89,1
865,11064,91,0
1238,11064,92,0
1487,11064,92,6
619,11064,96,8
2035,11064,99,0
1696,11064,100,5
1119,11064,101,1
758,11064,103,0
66,11064,105,5
979,11064,107,8
2386,11064,115,5
371,11064,116,0
1790,11064,116,9
1466,11064,117,0
1018,11064,119,2
35,11064,121,4
1830,11064,121,4
1025,11064,121,9
1092,11064,124,1
187,11064,124,6
901,11064,124,5
2181,11064,126,8
865,11064,128,0
1113,11064,129,7
1213,11064,134,2
1904,11064,135,3
358,11064,136,7
1759,11064,138,8
1789,11064,145,8
152,11064,149,1
1144,11064,152,8
2446,11064,153,5
2303,11064,154,0
1496,11064,156,0
57,11064,157,6
518,11064,157,0
2103,11064,158,7
333,11064,159,2
1901,11064,160,0
735,11064,161,4
2224,11064,162,8
1540,11064,165,0
1533,11064,169,7
618,11064,171,7
136,11064,172,5
574,11064,172,8
1703,11064,174,0
1620,11064,176,4
2004,11064,177,1
1008,11064,179,7
1131,11064,183,8
2216,11064,183,0
2186,11064,186,0
2128,11064,188,2
208,11064,189,7
1825,11064,190,0
1336,11064,190,5
2144,11064,193,3
73,11064,193,2
2175,11064,194,4
68,11064,195,7
1713,11064,197,7
1053,11064,198,7
1307,11064,200,6
1859,11064,201,3
800,11064,206,9
1398,11064,211,7
2281,11064,212,5
1522,11064,213,8
1573,11064,215,2
1291,11064,217,5
636,11064,219,8
1174,11064,230,8
1982,11064,231,6
482,11064,234,1
1463,11064,245,0
122,11064,247,1
1032,11064,247,1
475,11064,248,4
202,11064,252,1
200,11064,262,9
781,11064,262,5
2468,11064,267,0
1608,11064,269,7
1866,11064,273,8
2292,11064,274,1
49,11064,275,8
1495,11064,287,0
548,11064,290,0
