userid,dataid,timestamp,location
363,7617,2,2
1019,7617,13,3
1530,7617,13,4
2063,7617,14,0
66,7617,14,5
1207,7617,15,8
1064,7617,17,3
834,7617,17,1
1788,7617,18,7
1252,7617,19,8
2173,7617,20,2
574,7617,20,8
978,7617,21,7
379,7617,22,8
293,7617,22,2
1957,7617,25,8
827,7617,26,6
384,7617,27,3
595,7617,27,0
1722,7617,29,1
973,7617,33,2
2299,7617,36,8
2006,7617,37,0
2066,7617,37,0
1297,7617,37,8
727,7617,37,8
2143,7617,38,2
442,7617,40,1
440,7617,41,9
404,7617,43,3
2144,7617,43,3
10,7617,44,9
68,7617,44,7
575,7617,44,9
2285,7617,46,9
717,7617,47,1
1213,7617,48,2
185,7617,52,4
143,7617,54,2
2351,7617,56,0
1734,7617,57,1
1638,7617,58,7
996,7617,64,8
1785,7617,64,4
862,7617,65,8
893,7617,71,0
839,7617,74,3
2234,7617,75,3
1445,7617,80,9
868,7617,82,2
2146,7617,84,5
1584,7617,84,1
1890,7617,85,4
2106,7617,96,8
2467,7617,99,8
1393,7617,109,2
393,7617,120,2
282,7617,134,1
1431,7617,134,8
602,7617,135,6
78,7617,137,7
2073,7617,139,7
1546,7617,147,5
1573,7617,148,2
154,7617,150,3
1715,7617,154,9
2473,7617,169,2
525,7617,174,4
1217,7617,182,6
885,7617,193,4
1271,7617,196,0
398,7617,196,7
1340,7617,198,9
822,7617,198,1
1766,7617,203,0
418,7617,204,7
134,7617,204,3
166,7617,209,5
1593,7617,210,7
1302,7617,211,1
1743,7617,212,7
2283,7617,216,7
1017,7617,222,1
2122,7617,225,8
884,7617,227,3
482,7617,232,1
2158,7617,247,2
2258,7617,247,0
222,7617,250,1
1649,7617,253,3
1276,7617,254,5
1286,7617,254,0
2291,7617,255,0
1113,7617,256,7
1078,7617,256,2
2333,7617,257,0
2253,7617,257,7
1458,7617,259,7
295,7617,259,4
1254,7617,268,1
260,7617,268,9
872,7617,272,6
2045,7617,274,9
2448,7617,275,7
1750,7617,277,0
604,7617,278,8
895,7617,280,0
661,7617,290,5
2099,7617,294,3
2246,7617,299,0
1327,7617,308,8
627,7617,310,1
1533,7617,311,7
1154,7617,315,3
1301,7617,317,0
753,7617,318,7
1130,7617,318,9
28,7617,318,7
1341,7617,322,8
1377,7617,332,1
273,7617,333,2
2107,7617,335,8
2078,7617,345,0
1399,7617,345,8
736,7617,348,5
43,7617,349,2
2118,7617,352,7
758,7617,353,0
1834,7617,360,8
318,7617,362,7
729,7617,364,1
2284,7617,364,8
2357,7617,365,6
1508,7617,366,0
2461,7617,366,5
2105,7617,366,9
876,7617,368,8
1832,7617,370,6
361,7617,371,0
2226,7617,371,8
1550,7617,371,9
2404,7617,372,8
2377,7617,375,8
44,7617,377,3
888,7617,377,7
90,7617,378,9
1331,7617,378,0
1323,7617,379,7
1535,7617,380,9
163,7617,382,2
264,7617,382,3
1631,7617,382,0
2356,7617,384,5
198,7617,384,7
121,7617,384,0
410,7617,386,9
370,7617,386,9
973,7617,386,2
1416,7617,386,8
1730,7617,387,9
967,7617,387,8
399,7617,388,8
258,7617,389,7
1689,7617,391,1
957,7617,393,1
565,7617,393,0
1600,7617,397,0
2335,7617,398,0
125,7617,399,4
237,7617,402,6
2073,7617,404,7
2141,7617,406,0
1199,7617,406,3
2256,7617,407,8
890,7617,410,9
7,7617,412,6
115,7617,413,4
1764,7617,414,1
2275,7617,415,0
415,7617,418,4
1789,7617,418,8
2265,7617,419,4
455,7617,420,4
2309,7617,420,3
406,7617,420,5
112,7617,422,1
903,7617,423,7
2376,7617,423,8
1881,7617,425,8
1540,7617,425,0
128,7617,425,7
1738,7617,430,2
2250,7617,431,4
1303,7617,432,2
892,7617,432,8
1805,7617,435,9
1863,7617,435,7
260,7617,435,9
2311,7617,437,5
1983,7617,443,7
1102,7617,443,8
945,7617,446,4
1112,7617,453,6
624,7617,464,1
1177,7617,467,8
1313,7617,469,0
735,7617,470,4
2335,7617,472,0
495,7617,473,4
1188,7617,475,7
206,7617,475,5
1830,7617,478,4
2184,7617,481,1
811,7617,482,5
2019,7617,483,1
2334,7617,486,1
1226,7617,496,0
1357,7617,507,8
711,7617,510,8
866,7617,514,0
1084,7617,516,8
568,7617,534,2
709,7617,540,8
662,7617,542,6
2217,7617,543,1
632,7617,561,6
1076,7617,568,0
1530,7617,580,4
619,7617,594,8
238,7617,606,7
447,7617,609,6
1994,7617,614,3
1410,7617,623,4
524,7617,627,3
359,7617,629,8
1874,7617,632,3
1527,7617,640,1
674,7617,642,3
5,7617,647,4
2053,7617,649,2
890,7617,650,9
701,7617,651,0
1289,7617,651,3
415,7617,654,4
616,7617,654,5
2055,7617,657,4
973,7617,658,2
733,7617,659,2
594,7617,664,1
900,7617,671,4
836,7617,679,0
592,7617,681,8
428,7617,682,7
1370,7617,682,9
622,7617,683,8
1628,7617,693,0
364,7617,705,3
703,7617,710,2
1801,7617,713,5
612,7617,717,1
595,7617,719,0
1852,7617,721,8
471,7617,722,0
363,7617,722,2
2362,7617,722,8
