userid,dataid,timestamp,location
199,13651,6,8
1001,13651,9,0
1579,13651,9,8
2238,13651,11,7
562,13651,14,8
634,13651,22,8
1480,13651,27,0
851,13651,28,0
1590,13651,35,4
586,13651,53,5
29,13651,55,8
1905,13651,56,4
1475,13651,58,9
1871,13651,65,0
2148,13651,66,7
945,13651,69,4
1265,13651,72,9
1777,13651,76,8
2434,13651,77,8
623,13651,93,0
2080,13651,96,0
630,13651,111,4
2362,13651,112,8
2244,13651,113,1
130,13651,123,9
874,13651,127,8
1252,13651,131,8
530,13651,134,9
2412,13651,148,1
390,13651,157,9
979,13651,174,8
2298,13651,176,7
1881,13651,188,8
1315,13651,212,0
1658,13651,217,0
1760,13651,225,9
1226,13651,227,0
2465,13651,228,9
2034,13651,229,1
2161,13651,230,5
878,13651,245,0
2174,13651,250,3
420,13651,250,9
2394,13651,251,1
2394,13651,268,1
1344,13651,276,1
430,13651,283,9
874,13651,288,8
783,13651,294,7
343,13651,301,2
558,13651,312,7
7,13651,314,6
2251,13651,319,5
87,13651,339,6
2434,13651,343,8
1535,13651,344,9
1471,13651,349,5
805,13651,354,0
1903,13651,355,2
2435,13651,355,9
396,13651,356,5
1801,13651,356,5
2104,13651,358,8
1921,13651,359,5
2170,13651,362,0
648,13651,362,7
778,13651,362,2
1466,13651,365,0
2345,13651,369,9
582,13651,373,1
357,13651,373,6
1453,13651,374,2
317,13651,374,6
1822,13651,377,8
1501,13651,377,5
2470,13651,380,0
1654,13651,381,8
653,13651,382,0
324,13651,382,3
2214,13651,385,1
1019,13651,386,3
2313,13651,389,7
2492,13651,390,6
990,13651,390,4
126,13651,391,5
2334,13651,395,1
1260,13651,397,4
1399,13651,399,8
1796,13651,401,0
967,13651,402,8
1395,13651,402,4
1669,13651,402,8
2235,13651,403,4
221,13651,404,0
1880,13651,406,9
719,13651,410,3
514,13651,411,8
1619,13651,412,3
156,13651,412,5
1716,13651,414,8
1838,13651,417,0
2260,13651,417,0
933,13651,417,7
1316,13651,417,0
922,13651,420,8
995,13651,422,9
557,13651,423,6
2023,13651,424,2
970,13651,424,0
278,13651,425,7
2071,13651,426,5
1154,13651,428,3
481,13651,428,0
2429,13651,431,3
602,13651,432,6
1426,13651,433,5
1103,13651,433,0
657,13651,434,1
465,13651,434,4
8,13651,434,7
43,13651,435,2
1318,13651,435,2
500,13651,436,9
1413,13651,437,7
1655,13651,437,9
2253,13651,437,7
530,13651,437,9
306,13651,441,5
1707,13651,441,1
772,13651,442,8
632,13651,445,6
1310,13651,446,9
1279,13651,446,8
25,13651,447,4
1923,13651,448,7
966,13651,448,8
937,13651,450,8
1831,13651,452,5
865,13651,452,0
2412,13651,453,1
929,13651,456,3
37,13651,458,6
821,13651,459,0
470,13651,459,9
1263,13651,459,7
2034,13651,460,1
1398,13651,461,7
131,13651,462,0
1115,13651,463,9
1133,13651,463,0
887,13651,466,6
965,13651,466,9
326,13651,466,5
798,13651,467,7
986,13651,469,0
757,13651,470,8
2452,13651,470,8
1241,13651,470,0
2338,13651,471,2
267,13651,471,6
2036,13651,472,0
2403,13651,473,7
971,13651,477,0
623,13651,477,0
1533,13651,479,7
1875,13651,479,4
2188,13651,479,2
535,13651,482,0
161,13651,485,0
934,13651,487,8
2273,13651,509,0
2450,13651,514,9
1685,13651,515,9
1340,13651,515,9
1752,13651,534,1
2185,13651,534,0
197,13651,535,6
2141,13651,536,0
1132,13651,537,8
1396,13651,538,5
1547,13651,538,6
1621,13651,539,5
1987,13651,540,8
2277,13651,540,1
585,13651,541,4
748,13651,542,2
1200,13651,543,4
554,13651,543,3
1411,13651,544,5
2343,13651,544,7
2440,13651,545,0
1780,13651,545,0
356,13651,546,5
1914,13651,547,1
900,13651,547,4
1789,13651,547,8
1434,13651,548,1
2180,13651,550,9
579,13651,551,1
438,13651,551,7
34,13651,552,3
924,13651,552,1
2277,13651,553,1
1480,13651,553,0
1504,13651,554,8
168,13651,555,7
211,13651,555,0
1191,13651,556,8
574,13651,557,8
743,13651,558,0
20,13651,558,9
593,13651,558,0
914,13651,559,3
334,13651,559,3
843,13651,559,7
6,13651,563,5
1225,13651,563,0
2217,13651,564,1
1909,13651,564,8
1636,13651,565,5
797,13651,566,6
2284,13651,567,8
190,13651,567,9
1799,13651,568,3
1564,13651,572,8
437,13651,573,6
1964,13651,575,3
2016,13651,577,8
1430,13651,577,9
411,13651,578,0
219,13651,578,8
1916,13651,579,0
440,13651,580,9
364,13651,582,3
305,13651,584,4
657,13651,584,1
829,13651,586,8
1056,13651,587,8
251,13651,589,0
899,13651,590,3
1938,13651,590,7
931,13651,591,5
298,13651,591,7
1362,13651,593,1
534,13651,594,1
1651,13651,594,5
1503,13651,596,7
962,13651,598,6
443,13651,600,2
144,13651,601,3
1509,13651,604,1
1660,13651,604,0
580,13651,605,0
1950,13651,607,4
1922,13651,608,6
929,13651,609,3
43,13651,611,2
1425,13651,612,4
1319,13651,613,3
1507,13651,613,8
1285,13651,613,0
591,13651,615,8
2014,13651,615,8
2227,13651,616,8
1309,13651,621,8
146,13651,621,5
1855,13651,622,0
1502,13651,624,6
1066,13651,626,5
1538,13651,628,0
451,13651,628,0
2445,13651,633,4
2337,13651,633,1
1992,13651,634,1
1887,13651,634,1
693,13651,635,7
714,13651,636,1
174,13651,638,3
1738,13651,638,2
1472,13651,639,6
856,13651,640,5
2493,13651,640,7
868,13651,641,2
578,13651,642,0
80,13651,643,9
1848,13651,649,7
475,13651,649,4
2067,13651,649,1
197,13651,655,6
1084,13651,655,8
2239,13651,655,8
2289,13651,656,1
1077,13651,658,1
1176,13651,659,8
1341,13651,659,8
261,13651,659,0
594,13651,660,1
2498,13651,661,0
1194,13651,661,1
2260,13651,661,0
2075,13651,662,9
1293,13651,663,7
1116,13651,663,8
2376,13651,664,8
45,13651,664,4
1725,13651,666,4
547,13651,668,8
2339,13651,669,3
794,13651,669,3
747,13651,669,1
1775,13651,669,9
588,13651,670,7
2342,13651,674,6
36,13651,675,5
2388,13651,676,7
1209,13651,677,1
1836,13651,677,8
2235,13651,680,4
784,13651,681,8
684,13651,681,1
1704,13651,685,1
105,13651,686,4
1953,13651,686,7
2110,13651,688,0
91,13651,688,0
1383,13651,689,7
88,13651,691,7
2472,13651,693,1
346,13651,694,5
1840,13651,694,0
319,13651,695,8
2238,13651,696,7
1371,13651,697,8
712,13651,698,8
1419,13651,698,1
1713,13651,698,7
1061,13651,699,0
691,13651,699,5
1231,13651,700,5
935,13651,748,9
2178,13651,749,7
2364,13651,749,1
1996,13651,749,5
403,13651,749,2
149,13651,749,8
1293,13651,749,7
128,13651,750,7
852,13651,750,1
2112,13651,750,1
2131,13651,750,5
145,13651,750,4
1984,13651,750,8
493,13651,750,2
716,13651,750,0
291,13651,774,0
100,13651,774,9
