userid,dataid,timestamp,location
751,13462,5,5
471,13462,11,0
547,13462,19,8
1842,13462,36,1
331,13462,39,0
773,13462,39,0
1367,13462,54,6
430,13462,57,9
12,13462,60,1
1560,13462,61,4
752,13462,62,6
2246,13462,66,0
910,13462,68,0
1027,13462,74,8
250,13462,88,9
721,13462,90,5
547,13462,97,8
504,13462,102,1
491,13462,109,0
1176,13462,112,8
2215,13462,114,0
893,13462,116,0
1851,13462,119,8
547,13462,119,8
1920,13462,123,4
1901,13462,124,0
751,13462,127,5
1017,13462,128,1
677,13462,130,6
1438,13462,158,2
694,13462,173,8
1226,13462,173,0
1049,13462,175,3
787,13462,181,8
1194,13462,191,1
2354,13462,193,3
1357,13462,198,8
1670,13462,216,9
2377,13462,218,8
1392,13462,219,1
2103,13462,221,7
1545,13462,225,4
1320,13462,239,4
1639,13462,251,8
1576,13462,251,5
1288,13462,253,2
2429,13462,263,3
1268,13462,266,0
542,13462,268,6
841,13462,268,5
1029,13462,270,1
872,13462,274,6
2296,13462,276,5
455,13462,285,4
1678,13462,288,2
2059,13462,290,8
902,13462,310,6
561,13462,313,8
708,13462,318,7
1687,13462,319,8
338,13462,322,7
2366,13462,324,0
313,13462,327,2
2082,13462,328,1
1370,13462,330,9
735,13462,331,4
1288,13462,336,2
327,13462,339,6
113,13462,340,2
175,13462,352,4
2461,13462,356,5
516,13462,357,8
1149,13462,363,1
1977,13462,368,1
615,13462,369,4
1983,13462,374,7
314,13462,375,3
2181,13462,377,8
2275,13462,378,0
528,13462,383,7
1551,13462,387,8
1609,13462,390,8
1321,13462,396,5
801,13462,404,8
122,13462,407,1
2031,13462,412,8
291,13462,414,0
11,13462,416,0
1421,13462,418,0
1312,13462,422,8
663,13462,424,7
2393,13462,427,0
928,13462,435,2
834,13462,435,1
356,13462,438,5
1380,13462,440,4
1288,13462,441,2
648,13462,441,7
41,13462,445,0
1359,13462,448,1
2104,13462,458,8
354,13462,465,3
853,13462,465,2
1817,13462,468,6
359,13462,469,8
2287,13462,485,8
1927,13462,518,8
102,13462,527,1
197,13462,535,6
721,13462,536,5
70,13462,544,9
963,13462,546,7
700,13462,546,0
1504,13462,554,8
138,13462,562,7
1916,13462,565,0
2163,13462,566,7
2222,13462,571,6
229,13462,572,8
274,13462,573,3
1239,13462,573,1
2275,13462,574,0
565,13462,574,0
702,13462,579,1
440,13462,580,9
378,13462,583,7
1190,13462,584,9
1992,13462,586,1
1147,13462,588,8
1067,13462,593,6
674,13462,595,3
1453,13462,598,2
1859,13462,603,3
746,13462,607,0
63,13462,608,2
860,13462,612,9
856,13462,620,5
1895,13462,623,9
544,13462,625,8
2373,13462,626,7
1971,13462,634,8
1530,13462,635,4
846,13462,638,8
1287,13462,643,1
1373,13462,644,0
1848,13462,660,7
1316,13462,663,0
2042,13462,665,6
746,13462,679,0
1561,13462,681,5
1036,13462,682,5
1950,13462,687,4
770,13462,698,9
594,13462,701,1
2233,13462,713,2
1443,13462,714,7
1529,13462,715,3
2445,13462,717,4
344,13462,717,3
2061,13462,717,8
1272,13462,718,1
3,13462,722,2
133,13462,724,2
604,13462,726,8
2236,13462,728,5
741,13462,730,8
904,13462,730,8
2357,13462,731,6
1811,13462,731,0
1604,13462,731,3
2216,13462,731,0
1553,13462,732,0
504,13462,732,1
93,13462,733,2
1337,13462,733,6
789,13462,735,1
541,13462,736,5
1489,13462,736,8
1775,13462,737,9
2467,13462,738,8
765,13462,738,4
259,13462,740,8
1848,13462,740,7
1111,13462,740,5
1631,13462,741,0
554,13462,741,3
780,13462,742,4
1699,13462,744,8
286,13462,745,5
1596,13462,745,8
713,13462,746,0
2035,13462,748,0
84,13462,749,3
1701,13462,751,8
368,13462,753,7
1667,13462,753,6
1791,13462,753,8
785,13462,755,9
1663,13462,756,2
543,13462,756,7
491,13462,757,0
1704,13462,757,1
2219,13462,757,3
1560,13462,758,4
948,13462,759,7
802,13462,760,8
1387,13462,760,8
31,13462,762,0
193,13462,763,2
2370,13462,763,4
826,13462,765,5
976,13462,765,5
661,13462,766,5
300,13462,767,9
763,13462,767,2
405,13462,767,4
341,13462,767,0
2072,13462,769,6
327,13462,770,6
1142,13462,771,6
2197,13462,771,8
2360,13462,773,9
1732,13462,774,8
2399,13462,774,3
554,13462,776,3
1050,13462,777,4
907,13462,781,8
2092,13462,782,8
452,13462,783,1
1950,13462,788,4
2331,13462,790,8
2488,13462,794,2
1743,13462,795,7
913,13462,796,2
1620,13462,797,4
462,13462,801,1
1634,13462,801,3
1550,13462,804,9
1750,13462,805,0
2231,13462,806,0
1318,13462,808,2
555,13462,809,4
2445,13462,810,4
2471,13462,812,0
1573,13462,812,2
2428,13462,815,2
2190,13462,815,4
2322,13462,815,1
1358,13462,816,0
2462,13462,817,6
1681,13462,818,5
523,13462,820,2
679,13462,822,8
1050,13462,822,4
1556,13462,822,0
241,13462,824,0
2086,13462,824,5
532,13462,825,8
2183,13462,825,0
2405,13462,826,9
1915,13462,827,0
206,13462,827,5
718,13462,829,2
1298,13462,830,0
975,13462,830,4
1065,13462,831,4
1085,13462,832,9
1787,13462,832,6
1093,13462,833,2
352,13462,833,1
1564,13462,834,8
122,13462,836,1
2034,13462,836,1
2278,13462,837,2
1559,13462,837,3
167,13462,838,6
1095,13462,839,4
2016,13462,846,8
2026,13462,847,5
85,13462,849,4
1702,13462,849,8
1317,13462,850,1
178,13462,853,7
1135,13462,854,0
47,13462,854,6
210,13462,856,9
1693,13462,858,2
272,13462,858,1
495,13462,859,4
1184,13462,859,3
1013,13462,861,0
720,13462,862,4
97,13462,863,6
2012,13462,864,6
2433,13462,864,7
61,13462,865,0
1210,13462,866,0
1496,13462,868,0
2288,13462,869,0
2045,13462,869,9
162,13462,871,1
2063,13462,871,0
1518,13462,875,7
1101,13462,875,8
522,13462,875,1
405,13462,878,4
254,13462,880,3
88,13462,881,7
1433,13462,881,0
2050,13462,882,0
1888,13462,883,2
2,13462,885,1
962,13462,885,6
372,13462,885,1
314,13462,886,3
1800,13462,886,4
1203,13462,886,7
1738,13462,887,2
852,13462,887,1
1744,13462,887,8
2324,13462,889,3
904,13462,889,8
1761,13462,890,8
645,13462,891,4
856,13462,892,5
1074,13462,892,1
942,13462,893,1
1823,13462,893,0
2167,13462,896,8
2456,13462,896,0
2168,13462,898,0
512,13462,898,6
2137,13462,898,8
1356,13462,900,8
1869,13462,901,1
1133,13462,901,0
398,13462,902,7
2103,13462,904,7
798,13462,904,7
1687,13462,905,8
1100,13462,906,9
1040,13462,906,9
1399,13462,906,8
311,13462,906,0
2231,13462,907,0
2087,13462,909,6
739,13462,909,8
368,13462,913,7
513,13462,913,7
2212,13462,914,8
941,13462,916,0
1577,13462,917,6
1775,13462,918,9
2223,13462,919,7
1327,13462,920,8
448,13462,921,7
1457,13462,922,6
2463,13462,922,7
394,13462,925,3
842,13462,925,6
423,13462,925,2
1341,13462,925,8
1631,13462,926,0
1826,13462,927,0
2328,13462,929,7
1376,13462,929,0
1783,13462,930,2
729,13462,930,1
1490,13462,932,9
1089,13462,932,1
469,13462,934,8
977,13462,935,6
15,13462,935,4
1103,13462,937,0
2399,13462,937,3
1003,13462,937,2
465,13462,938,4
1383,13462,939,7
1953,13462,940,7
