dataid,location,plays,timestamp
70,19,3,0
20,19,5,0
200,54,8,0
208,54,27,0
208,20,49,0
20,35,3,0
20,49,3,0
200,20,42,0
199,43,2,0
199,49,2,0
199,35,2,0
199,1,2,0
20,1,2,0
200,53,4,0
200,43,4,0
208,53,3,0
200,35,1,0
200,9,1,0
200,1,1,0
200,39,1,0
200,47,1,0
20,54,6,0
20,53,6,0
23,53,3,0
20,20,54,0
20,2,2,0
20,47,2,0
70,49,2,0
20,36,2,0
199,53,2,0
70,53,2,0
54,54,23,0
23,10,1,0
23,43,1,0
23,36,1,0
23,1,1,0
23,0,1,0
208,1,1,0
70,9,1,0
236,20,41,0
236,54,31,0
54,20,70,0
70,7,1,0
208,2,1,0
70,1,1,0
70,36,1,0
70,39,1,0
208,49,1,0
208,43,1,0
208,35,1,0
54,53,4,0
54,2,4,0
54,35,4,0
208,9,2,0
54,19,3,0
54,43,3,0
199,2,1,0
199,9,1,0
23,35,2,0
199,39,1,0
54,1,2,0
54,9,2,0
23,18,2,0
236,53,1,0
23,9,2,0
236,9,2,0
199,36,1,0
208,19,1,0
200,36,2,0
200,49,2,0
200,19,3,0
23,54,17,0
23,20,52,0
23,47,1,0
23,49,1,0
70,43,2,0
199,54,11,0
75,35,3,0
28,54,24,0
31,0,1,0
31,1,1,0
199,20,43,0
31,10,1,0
31,9,1,0
31,36,1,0
28,49,2,0
28,1,2,0
31,47,1,0
31,29,1,0
31,49,1,0
31,18,1,0
28,9,3,0
28,2,3,0
28,43,2,0
28,35,4,0
28,53,4,0
75,53,3,0
28,19,4,0
31,19,2,0
28,20,72,0
31,2,2,0
75,20,45,0
31,20,48,0
31,54,11,0
23,2,3,0
23,19,3,0
54,49,1,0
54,36,1,0
54,18,1,0
54,29,1,0
54,27,1,0
75,43,1,0
75,39,1,0
20,39,1,0
20,7,1,0
20,9,1,0
20,18,1,0
20,29,1,0
20,43,1,0
20,0,1,0
199,19,3,0
54,0,1,0
75,36,1,0
20,13,1,0
54,47,1,0
75,54,15,0
28,7,1,0
28,47,1,0
28,18,1,0
31,43,3,0
31,53,3,0
31,35,3,0
70,54,7,0
28,0,1,0
28,36,1,0
75,19,1,0
28,39,1,0
75,1,1,0
75,2,1,0
70,20,35,0
75,9,1,0
28,10,1,0
28,52,1,0
75,18,1,0
75,49,2,0
236,20,38,1
28,35,4,1
208,49,1,1
54,20,70,1
208,1,1,1
208,2,1,1
208,36,1,1
208,43,1,1
208,19,1,1
236,9,2,1
236,54,27,1
23,1,1,1
54,2,4,1
54,43,4,1
70,54,7,1
236,19,1,1
236,53,1,1
23,29,1,1
70,19,4,1
54,36,2,1
54,47,2,1
54,49,2,1
23,43,1,1
23,18,1,1
23,9,1,1
54,9,2,1
54,1,2,1
208,9,2,1
208,35,2,1
54,35,4,1
23,36,1,1
54,53,4,1
70,20,42,1
75,47,1,1
75,39,1,1
75,2,1,1
75,43,1,1
54,54,18,1
208,53,4,1
75,9,1,1
75,7,1,1
23,0,1,1
23,10,1,1
23,49,1,1
23,47,1,1
208,20,52,1
75,18,1,1
54,0,1,1
54,18,1,1
54,27,1,1
54,29,1,1
54,39,1,1
208,54,25,1
54,19,4,1
20,0,1,1
20,43,1,1
20,13,1,1
20,18,1,1
20,7,1,1
31,54,11,1
23,2,3,1
23,53,3,1
31,20,54,1
28,10,1,1
28,0,1,1
28,7,1,1
28,29,1,1
28,18,1,1
20,9,1,1
20,29,2,1
20,2,2,1
20,39,2,1
31,47,2,1
31,1,2,1
28,20,77,1
31,10,1,1
28,2,4,1
28,49,2,1
28,43,2,1
28,47,2,1
28,9,2,1
28,36,2,1
28,1,2,1
28,53,5,1
28,54,22,1
31,18,1,1
31,29,1,1
31,49,1,1
31,36,1,1
31,0,1,1
31,9,1,1
31,43,3,1
31,35,3,1
31,19,3,1
31,2,3,1
31,53,4,1
28,52,1,1
28,39,1,1
20,1,2,1
23,20,46,1
200,35,2,1
200,1,2,1
200,36,2,1
23,19,2,1
70,49,3,1
20,54,6,1
200,19,4,1
200,43,4,1
20,19,6,1
20,53,7,1
20,20,63,1
200,49,3,1
200,53,5,1
200,54,9,1
20,36,3,1
200,20,52,1
20,47,3,1
20,49,3,1
20,35,3,1
23,35,2,1
23,54,11,1
28,19,4,1
70,53,3,1
200,29,1,1
200,9,1,1
75,20,49,1
199,53,3,1
199,35,2,1
75,54,13,1
70,43,2,1
199,1,2,1
199,43,2,1
199,39,2,1
70,39,1,1
75,1,2,1
75,19,2,1
75,36,2,1
199,54,13,1
199,19,4,1
75,49,2,1
199,49,3,1
70,7,1,1
200,27,1,1
200,47,1,1
200,39,1,1
70,2,1,1
75,53,4,1
200,7,1,1
75,35,3,1
200,18,1,1
199,9,1,1
199,7,1,1
199,2,1,1
199,36,1,1
70,9,1,1
199,20,54,1
70,36,2,1
70,1,2,1
200,2,1,1
2556,9,2,2
2556,36,2,2
2556,35,2,2
2484,20,77,2
2484,35,5,2
687,20,76,2
2556,19,3,2
236,54,4,2
687,35,4,2
2549,9,4,2
687,1,4,2
687,53,4,2
2429,47,6,2
2429,10,5,2
2484,53,8,2
2429,42,2,2
687,54,28,2
2556,54,26,2
2549,53,8,2
2475,19,3,2
2475,53,3,2
2475,35,3,2
2549,1,5,2
2484,2,4,2
2484,1,4,2
2484,43,4,2
2556,1,3,2
2484,54,14,2
2556,53,3,2
2556,43,3,2
2484,19,4,2
2549,18,2,2
2549,43,3,2
2585,29,1,2
2509,20,12,2
2482,54,6,2
2549,47,1,2
2549,46,1,2
2549,39,1,2
2549,37,1,2
2549,33,1,2
2549,29,1,2
2549,7,1,2
2549,27,1,2
2587,49,2,2
208,54,5,2
2585,2,2,2
2585,49,2,2
2585,1,3,2
2585,9,3,2
2585,19,3,2
2585,35,3,2
2585,36,1,2
2585,18,1,2
2585,39,1,2
2586,53,7,2
2586,54,12,2
2586,20,60,2
2585,43,1,2
2585,7,1,2
200,54,6,2
2549,36,2,2
2587,54,17,2
2475,2,4,2
2587,20,47,2
208,36,2,2
54,54,4,2
2482,35,2,2
2482,53,2,2
2549,49,2,2
2549,35,3,2
2549,2,3,2
54,20,15,2
2587,9,2,2
2475,20,58,2
2475,54,13,2
2585,53,5,2
200,1,1,2
200,53,1,2
200,43,1,2
2585,54,26,2
2549,19,3,2
2585,20,69,2
200,20,20,2
2554,47,1,2
2554,13,1,2
2554,37,1,2
2554,27,1,2
2554,18,1,2
23,35,1,2
2595,20,70,2
2587,43,2,2
2554,43,2,2
2554,29,2,2
2554,7,2,2
2554,2,2,2
2587,19,2,2
2554,35,3,2
2554,36,3,2
2554,39,3,2
2554,54,66,2
2482,2,3,2
2554,49,5,2
2554,19,6,2
2554,9,7,2
2554,1,7,2
2554,53,9,2
23,53,1,2
2429,5,1,2
2554,20,139,2
2429,36,1,2
2429,29,1,2
2429,19,1,2
2475,49,1,2
2475,0,1,2
687,19,3,2
687,9,3,2
2586,19,5,2
2556,20,66,2
2595,54,39,2
2484,18,1,2
2595,53,5,2
2595,9,4,2
2595,19,2,2
2595,1,2,2
23,20,16,2
687,2,2,2
2549,20,99,2
687,29,1,2
687,18,1,2
687,7,1,2
687,47,1,2
687,39,1,2
687,36,1,2
687,37,1,2
