dataid,location,plays,timestamp
23,49,1,0
23,47,1,0
208,53,3,0
28,1,2,0
28,49,2,0
28,43,2,0
23,43,1,0
23,36,1,0
208,54,27,0
23,10,1,0
208,20,49,0
28,2,3,0
70,54,7,0
236,53,1,0
23,54,17,0
70,20,35,0
23,0,1,0
28,39,1,0
28,0,1,0
649,20,8,0
33,0,1,0
33,10,1,0
199,9,1,0
33,9,1,0
199,2,1,0
33,1,1,0
33,36,1,0
33,47,1,0
28,18,1,0
28,36,1,0
28,52,1,0
28,10,1,0
23,1,1,0
75,53,3,0
75,35,3,0
208,9,2,0
28,7,1,0
28,47,1,0
649,54,6,0
33,49,1,0
33,19,1,0
33,18,1,0
236,9,2,0
23,20,52,0
70,49,2,0
23,2,3,0
23,53,3,0
199,53,2,0
75,49,2,0
70,19,3,0
20,2,2,0
28,9,3,0
23,19,3,0
70,43,2,0
236,54,31,0
75,54,15,0
31,19,2,0
31,2,2,0
75,20,45,0
20,53,6,0
0,19,1,0
208,19,1,0
54,0,1,0
20,54,6,0
200,49,2,0
200,36,2,0
54,9,2,0
54,1,2,0
28,53,4,0
28,35,4,0
28,19,4,0
200,19,3,0
31,54,11,0
20,49,3,0
20,35,3,0
31,20,48,0
199,36,1,0
199,39,1,0
200,53,4,0
200,43,4,0
54,43,3,0
54,19,3,0
20,19,5,0
20,36,2,0
31,29,1,0
31,18,1,0
31,36,1,0
31,1,1,0
31,0,1,0
208,49,1,0
31,10,1,0
31,47,1,0
31,49,1,0
31,9,1,0
208,35,1,0
208,2,1,0
20,47,2,0
31,43,3,0
31,53,3,0
31,35,3,0
28,20,72,0
200,54,8,0
28,54,24,0
20,20,54,0
54,49,1,0
236,20,41,0
54,47,1,0
54,36,1,0
208,1,1,0
54,18,1,0
208,43,1,0
54,29,1,0
54,27,1,0
20,0,1,0
70,7,1,0
70,36,1,0
70,39,1,0
70,1,1,0
54,20,70,0
199,19,3,0
199,1,2,0
199,43,2,0
54,54,23,0
20,29,1,0
20,7,1,0
20,9,1,0
20,13,1,0
20,43,1,0
20,39,1,0
70,9,1,0
75,18,1,0
199,54,11,0
0,35,9,0
0,20,44,0
23,35,2,0
23,18,2,0
75,19,1,0
75,43,1,0
75,39,1,0
75,36,1,0
33,43,2,0
0,0,5,0
33,35,3,0
33,53,3,0
0,47,4,0
0,2,2,0
0,54,5,0
0,10,3,0
33,2,2,0
23,9,2,0
199,20,43,0
33,54,13,0
54,35,4,0
54,53,4,0
54,2,4,0
75,9,1,0
75,1,1,0
75,2,1,0
33,20,49,0
20,1,2,0
200,35,1,0
200,20,42,0
200,1,1,0
200,9,1,0
200,47,1,0
200,39,1,0
199,49,2,0
20,18,1,0
70,53,2,0
199,35,2,0
28,43,2,1
28,10,1,1
54,29,1,1
28,49,2,1
33,54,11,1
28,0,1,1
208,53,4,1
28,7,1,1
28,18,1,1
28,29,1,1
28,39,1,1
20,53,7,1
20,19,6,1
20,54,6,1
31,19,3,1
23,20,46,1
33,20,50,1
28,47,2,1
200,9,1,1
31,2,3,1
200,1,2,1
33,43,3,1
33,35,3,1
200,35,2,1
200,36,2,1
200,49,3,1
20,35,3,1
20,36,3,1
20,49,3,1
31,54,11,1
20,47,3,1
28,19,4,1
28,2,4,1
200,53,5,1
200,19,4,1
31,20,54,1
200,43,4,1
54,1,2,1
54,9,2,1
54,49,2,1
33,2,2,1
33,53,4,1
70,19,4,1
33,47,2,1
33,36,2,1
54,36,2,1
31,53,4,1
54,47,2,1
54,18,1,1
54,39,1,1
54,0,1,1
54,27,1,1
33,0,1,1
20,20,63,1
200,29,1,1
200,39,1,1
236,9,2,1
200,2,1,1
208,1,1,1
208,2,1,1
208,43,1,1
208,19,1,1
236,54,27,1
208,49,1,1
208,36,1,1
649,54,5,1
208,9,2,1
208,35,2,1
33,49,1,1
28,9,2,1
33,9,1,1
28,1,2,1
28,36,2,1
33,10,1,1
33,18,1,1
31,43,3,1
33,19,1,1
236,20,38,1
28,52,1,1
236,53,1,1
70,54,7,1
200,47,1,1
208,20,52,1
236,19,1,1
70,20,42,1
31,35,3,1
33,1,1,1
208,54,25,1
200,27,1,1
200,7,1,1
200,18,1,1
75,35,3,1
20,0,1,1
28,20,77,1
200,54,9,1
23,54,11,1
20,43,1,1
75,9,1,1
75,53,4,1
199,1,2,1
70,53,3,1
70,49,3,1
70,39,1,1
23,2,3,1
70,9,1,1
70,2,1,1
70,7,1,1
200,20,52,1
0,29,1,1
0,36,1,1
75,43,1,1
75,7,1,1
75,18,1,1
75,47,1,1
75,39,1,1
75,2,1,1
70,36,2,1
70,43,2,1
70,1,2,1
23,49,1,1
23,47,1,1
23,18,1,1
23,1,1,1
23,10,1,1
23,9,1,1
23,36,1,1
23,43,1,1
23,29,1,1
23,19,2,1
23,53,3,1
23,0,1,1
199,36,1,1
75,1,2,1
20,18,1,1
75,19,2,1
75,36,2,1
75,49,2,1
199,2,1,1
28,35,4,1
199,43,2,1
199,35,2,1
199,39,2,1
54,20,70,1
199,49,3,1
199,53,3,1
23,35,2,1
54,54,18,1
20,9,1,1
199,7,1,1
199,9,1,1
20,7,1,1
20,13,1,1
0,35,7,1
75,20,49,1
31,18,1,1
31,0,1,1
0,10,2,1
199,19,4,1
0,19,2,1
0,2,2,1
0,54,5,1
20,29,2,1
20,2,2,1
20,1,2,1
20,39,2,1
31,49,1,1
199,54,13,1
54,43,4,1
199,20,54,1
54,53,4,1
54,35,4,1
28,53,5,1
0,20,43,1
54,2,4,1
54,19,4,1
31,36,1,1
31,29,1,1
0,47,4,1
0,0,4,1
75,54,13,1
28,54,22,1
31,9,1,1
31,10,1,1
31,1,2,1
31,47,2,1
2585,54,26,2
2554,54,66,2
2585,53,5,2
2554,20,139,2
200,20,20,2
2585,35,3,2
2585,19,3,2
2585,9,3,2
2585,49,2,2
1593,19,7,2
2585,20,69,2
1593,54,75,2
2585,1,3,2
54,20,15,2
2434,29,2,2
2434,2,2,2
1593,53,14,2
2434,54,4,2
2434,47,4,2
54,54,4,2
1593,1,8,2
1593,9,8,2
2554,39,3,2
2554,36,3,2
2554,35,3,2
2595,1,2,2
2595,19,2,2
2595,49,1,2
2595,39,1,2
2595,36,1,2
2595,35,1,2
2595,2,1,2
2595,9,4,2
2595,53,5,2
2595,20,70,2
2516,53,4,2
2586,53,7,2
2516,54,23,2
2538,36,1,2
2538,19,1,2
2538,2,1,2
2538,9,1,2
2538,18,1,2
2538,35,2,2
2538,43,2,2
2538,1,2,2
2516,20,67,2
2595,54,39,2
2554,29,2,2
2587,9,2,2
649,20,18,2
2549,54,37,2
2535,2,2,2
2535,19,2,2
2535,43,2,2
2535,35,2,2
200,54,6,2
2554,19,6,2
54,2,1,2
2587,49,2,2
2587,43,2,2
2587,19,2,2
2554,49,5,2
28,20,13,2
