dataid,location,plays,timestamp
20,20,54,0
79,19,2,0
79,35,2,0
17,35,4,0
20,53,6,0
17,54,16,0
208,43,1,0
208,35,1,0
17,20,59,0
208,49,1,0
25,9,1,0
208,19,1,0
25,49,1,0
25,47,1,0
25,18,1,0
25,1,1,0
25,0,1,0
79,49,1,0
79,43,1,0
79,2,1,0
79,1,1,0
79,9,1,0
208,2,1,0
208,1,1,0
20,54,6,0
28,19,4,0
28,53,4,0
28,35,4,0
0,54,5,0
203,18,1,0
203,2,1,0
203,1,1,0
649,54,6,0
199,54,11,0
28,10,1,0
28,52,1,0
20,47,2,0
28,39,1,0
28,36,1,0
28,0,1,0
28,7,1,0
20,36,2,0
0,35,9,0
17,53,3,0
17,19,3,0
0,20,44,0
0,0,5,0
28,54,24,0
203,36,1,0
79,20,31,0
20,19,5,0
17,2,3,0
28,9,3,0
28,2,3,0
33,20,49,0
33,54,13,0
79,53,3,0
236,9,2,0
33,35,3,0
0,10,3,0
33,53,3,0
236,53,1,0
20,49,3,0
20,35,3,0
0,47,4,0
199,19,3,0
20,1,2,0
20,2,2,0
70,36,1,0
229,53,1,0
229,2,1,0
229,9,1,0
70,39,1,0
70,1,1,0
70,7,1,0
70,9,1,0
79,54,6,0
203,43,1,0
203,49,1,0
70,43,2,0
25,43,2,0
208,9,2,0
70,19,3,0
25,35,2,0
70,53,2,0
28,20,72,0
70,49,2,0
288,54,15,0
288,20,19,0
75,49,2,0
75,35,3,0
236,20,41,0
75,53,3,0
236,54,31,0
75,54,15,0
75,20,45,0
200,19,3,0
200,36,2,0
33,9,1,0
33,10,1,0
33,1,1,0
33,0,1,0
33,36,1,0
33,47,1,0
33,18,1,0
33,19,1,0
33,49,1,0
200,49,2,0
17,18,1,0
17,49,1,0
17,10,1,0
17,1,1,0
17,29,1,0
17,36,1,0
17,47,1,0
23,54,17,0
33,43,2,0
33,2,2,0
28,18,1,0
23,20,52,0
28,47,1,0
200,47,1,0
200,39,1,0
200,1,1,0
200,9,1,0
200,35,1,0
203,9,2,0
203,35,2,0
23,10,1,0
28,1,2,0
23,43,1,0
23,36,1,0
203,19,3,0
203,53,3,0
23,1,1,0
23,0,1,0
23,49,1,0
28,43,2,0
199,20,43,0
20,13,1,0
203,20,48,0
200,53,4,0
200,43,4,0
20,0,1,0
28,49,2,0
23,9,2,0
17,0,2,0
23,18,2,0
23,35,2,0
17,43,2,0
23,53,3,0
23,2,3,0
23,19,3,0
17,9,2,0
229,54,13,0
229,20,29,0
20,43,1,0
20,29,1,0
20,7,1,0
23,47,1,0
200,20,42,0
229,43,2,0
203,54,20,0
649,20,8,0
20,39,1,0
200,54,8,0
20,9,1,0
20,18,1,0
54,20,70,0
208,20,49,0
31,18,1,0
80,20,35,0
80,53,2,0
31,29,1,0
54,19,3,0
80,54,10,0
54,43,3,0
54,9,2,0
54,1,2,0
31,43,3,0
31,19,2,0
31,2,2,0
54,35,4,0
80,43,2,0
80,35,2,0
0,2,2,0
31,53,3,0
31,35,3,0
54,53,4,0
54,2,4,0
31,0,1,0
31,1,1,0
31,10,1,0
54,54,23,0
31,9,1,0
31,36,1,0
54,47,1,0
54,49,1,0
54,36,1,0
54,18,1,0
54,29,1,0
54,27,1,0
54,0,1,0
80,2,2,0
199,39,1,0
75,9,1,0
25,54,7,0
199,36,1,0
75,1,1,0
199,53,2,0
80,19,1,0
199,9,1,0
75,39,1,0
75,43,1,0
75,36,1,0
80,1,1,0
75,19,1,0
208,53,3,0
199,2,1,0
31,54,11,0
2293,54,4,0
75,18,1,0
25,53,3,0
31,20,48,0
25,19,2,0
288,9,1,0
25,2,3,0
75,2,1,0
80,9,1,0
