dataid,location,plays,timestamp
200,43,4,0
200,53,4,0
28,20,72,0
200,20,42,0
28,53,4,0
75,39,1,0
75,43,1,0
28,35,4,0
75,19,1,0
75,18,1,0
75,35,3,0
54,9,2,0
199,35,2,0
199,49,2,0
199,43,2,0
199,1,2,0
75,36,1,0
28,10,1,0
28,47,1,0
28,18,1,0
54,36,1,0
54,49,1,0
54,47,1,0
54,18,1,0
28,7,1,0
28,19,4,0
54,29,1,0
54,27,1,0
199,36,1,0
199,39,1,0
199,53,2,0
54,0,1,0
54,35,4,0
54,53,4,0
54,2,4,0
20,47,2,0
54,19,3,0
20,20,54,0
28,9,3,0
54,20,70,0
20,35,3,0
54,43,3,0
200,49,2,0
200,35,1,0
199,2,1,0
200,39,1,0
28,54,24,0
28,1,2,0
200,47,1,0
75,54,15,0
28,36,1,0
28,0,1,0
20,2,2,0
20,1,2,0
28,49,2,0
28,39,1,0
75,53,3,0
199,19,3,0
200,9,1,0
199,9,1,0
75,20,45,0
54,1,2,0
20,36,2,0
199,54,11,0
200,36,2,0
75,49,2,0
200,19,3,0
28,52,1,0
200,54,8,0
20,0,1,0
20,18,1,0
75,9,1,0
75,1,1,0
75,2,1,0
20,39,1,0
20,43,1,0
28,43,2,0
20,7,1,0
20,13,1,0
20,9,1,0
20,53,6,0
54,54,23,0
20,54,6,0
20,19,5,0
200,1,1,0
28,2,3,0
199,20,43,0
20,29,1,0
20,49,3,0
28,53,5,1
75,49,2,1
199,53,3,1
75,36,2,1
75,39,1,1
75,1,2,1
20,36,3,1
20,49,3,1
75,47,1,1
20,47,3,1
75,43,1,1
75,18,1,1
75,7,1,1
75,9,1,1
199,20,54,1
20,35,3,1
200,43,4,1
75,19,2,1
75,2,1,1
28,2,4,1
20,54,6,1
20,19,6,1
20,53,7,1
20,20,63,1
28,49,2,1
54,0,1,1
54,18,1,1
28,43,2,1
200,47,1,1
200,39,1,1
199,19,4,1
200,29,1,1
200,18,1,1
200,9,1,1
200,27,1,1
28,54,22,1
200,7,1,1
200,2,1,1
199,54,13,1
200,54,9,1
54,29,1,1
28,20,77,1
200,53,5,1
28,47,2,1
28,36,2,1
28,1,2,1
28,9,2,1
54,19,4,1
54,2,4,1
54,35,4,1
28,35,4,1
28,19,4,1
54,43,4,1
54,53,4,1
75,35,3,1
54,39,1,1
199,49,3,1
200,20,52,1
75,53,4,1
54,54,18,1
54,20,70,1
199,7,1,1
199,9,1,1
199,2,1,1
199,36,1,1
28,39,1,1
200,49,3,1
28,18,1,1
28,7,1,1
200,36,2,1
200,35,2,1
200,1,2,1
28,10,1,1
75,20,49,1
28,0,1,1
75,54,13,1
200,19,4,1
28,52,1,1
28,29,1,1
199,1,2,1
20,43,1,1
20,18,1,1
20,13,1,1
199,39,2,1
54,27,1,1
54,47,2,1
199,43,2,1
20,7,1,1
20,9,1,1
54,36,2,1
54,49,2,1
54,9,2,1
54,1,2,1
199,35,2,1
20,2,2,1
20,39,2,1
20,1,2,1
20,0,1,1
20,29,2,1
2521,43,1,2
2521,18,1,2
2521,7,1,2
687,18,1,2
2521,2,1,2
2556,39,1,2
2554,49,5,2
2521,29,1,2
1593,54,75,2
2521,47,1,2
2521,39,1,2
200,43,1,2
2556,49,1,2
54,54,4,2
2556,27,1,2
2554,35,3,2
2585,2,2,2
28,20,13,2
2521,13,1,2
2554,36,3,2
2586,18,1,2
2554,39,3,2
199,20,14,2
2556,36,2,2
2556,9,2,2
2475,0,1,2
54,20,15,2
2475,49,1,2
2475,27,1,2
1593,2,5,2
1593,35,5,2
2482,10,1,2
1593,36,5,2
2549,9,4,2
2585,9,3,2
2585,19,3,2
2475,36,2,2
2585,1,3,2
2521,53,7,2
2585,35,3,2
2554,54,66,2
2482,9,1,2
2482,0,1,2
200,53,1,2
2586,53,7,2
2585,49,2,2
2475,9,2,2
2475,18,2,2
2516,54,23,2
2475,1,2,2
2475,47,2,2
200,1,1,2
2482,1,1,2
2549,1,5,2
2475,29,2,2
687,29,1,2
687,7,1,2
2556,35,2,2
2484,53,8,2
2586,54,12,2
2586,20,60,2
2586,43,1,2
2482,29,1,2
2482,18,1,2
2482,19,1,2
2482,36,1,2
2482,47,1,2
